PROGRAMNAME,PROGRAMURL,CATALOGNAME,LASTUPDATED,NAME,KEYWORDS,DESCRIPTION,SKU,MANUFACTURER,MANUFACTURERID,UPC,ISBN,CURRENCY,SALEPRICE,PRICE,RETAILPRICE,FROMPRICE,BUYURL,IMPRESSIONURL,IMAGEURL,ADVERTISERCATEGORY,THIRDPARTYID,THIRDPARTYCATEGORY,AUTHOR,ARTIST,TITLE,PUBLISHER,LABEL,FORMAT,SPECIAL,GIFT,PROMOTIONALTEXT,STARTDATE,ENDDATE,OFFLINE,ONLINE,INSTOCK,CONDITION,WARRANTY,STANDARDSHIPPINGCOST
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,09/13/2013,Black Silver Happy New Year Regal Tiara,"happy new year, new year, new year's eve, party, toast, hat, new years, new year's,",Black Silver Happy New Year Regal Tiara,143212,Beistle Company,88761BK50,034689110767,,USD,1.19,1.19,1.49,,http://www.anrdoezrs.net/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FBlack-Silver-Happy-New-Year-Regal-Tiara%2F24968%2FPartyItemDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/24968.jpg?zm=250,250,1,0,0",Seasonal>Wearables (Beads/Bandannas/Vests/Leis/Hats/Sunglasses): New Year's>Holidays: Seasonal,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,09/13/2013,Holy Bleep 50 Square Dessert Plates,"holy bleep, holy birthday, 50th birthday, adult birthday, over the hill, oth, plates,",Includes (8) square paper dessert plates.,202065,Creative Converting,419514,073525940113,,USD,3.99,3.99,,,http://www.kqzyfj.com/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FHoly-Bleep-50-Square-Dessert-Plates%2F74510%2FProductDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/74510.jpg?zm=250,250,1,0,0","Over 21>7"" Plates (Dessert): OTH (OVER THE HILL)>Birthday Party Supplies: Over 21",,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,09/13/2013,Faithful Dove Blue Baptism Lunch Napkins,"baby, baptism, christening,",Faithful Dove Blue Baptism Lunch Napkins (16),190639,Creative Converting,669945,073525867434,,USD,2.79,2.79,,,http://www.kqzyfj.com/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FFaithful-Dove-Blue-Baptism-Lunch-Napkins%2F71163%2FPartyItemDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/71163.jpg?zm=250,250,1,0,0",Religious>Lunch Napkins: Baby Shower/Baptism/Christening>Occasions: Religious,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,06/18/2013,Carter's Baby Boy Thank-You Notes (8),"baby shower, baby boy, thank yous, thank you cards, thank you notes, carters, envelopes,",Includes 8 thank-you notes and envelopes.,152620,Amscan,485066,048419751069,,USD,6.99,6.99,8.04,,http://www.tkqlhce.com/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FCarters-Baby-Boy-Thank-You-Notes-8%2F30675%2FPartyItemDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/30675.jpg?zm=250,250,1,0,0?zm=250,250,1,0,0",>>,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,06/18/2013,20' It's A Boy Party Tape,"baby shower, streamer, baby, boy","Includes (1) blue plastic party tape that measures approximately 3"" high x 20' wide and has ""It's a Boy!"" and a rattle printed all along the tape. For indoor our outdoor use.",152655,Beistle Company,66120,034689661207,,USD,1.99,1.99,2.29,,http://www.kqzyfj.com/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2F20-Its-A-Boy-Party-Tape%2F30728%2FProductDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/30728.jpg?zm=250,250,1,0,0?zm=250,250,1,0,0",>>,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,06/18/2013,Baby Rattle Favor Charms Asst. (8),"baby shower, favor, charm, stockingstuffer","Includes (8) plastic rattle charms. Each charm measures approximately 1.25"" wide x 2.75"" high. Caution: Not recommended for children under 3 years old.",152658,Amscan,382344,048419745075,,USD,3.99,3.99,4.59,,http://www.jdoqocy.com/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FBaby-Rattle-Favor-Charms-Asst-8%2F30731%2FPartyItemDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/30731.jpg?zm=250,250,1,0,0?zm=250,250,1,0,0",>>,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,06/18/2013,Mini Pacifier Favor Charms Pink (24),"baby shower, girl, nuk, stockingstuffer","Includes (24) pink plastic mini pacifier charms that measure approximately 1"" wide. Caution: Not recommended for children under 3 years old.",152659,Amscan,382340,048419745037,,USD,2.99,2.99,3.44,,http://www.jdoqocy.com/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FMini-Pacifier-Favor-Charms-Pink-24%2F30732%2FPartyItemDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/30732.jpg?zm=250,250,1,0,0?zm=250,250,1,0,0",>>,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,06/18/2013,Mini Pacifier Favor Charms Asst. (24),"baby shower, boy, girl, charm, stockingstuffer","Includes (24) assorted plastic mini pacifier charms that measure 1"" wide. Caution: Not recommended for children under 3 years old.",152661,Amscan,382341,048419745044,,USD,2.99,2.99,3.44,,http://www.anrdoezrs.net/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FMini-Pacifier-Favor-Charms-Asst-24%2F30734%2FPartyItemDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/30734.jpg?zm=250,250,1,0,0?zm=250,250,1,0,0",>>,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,06/18/2013,Clothes Pin Favor Charms Pink (24),"baby shower, girl, charm, stockingstuffer","Package includes (24) pink plastic clothes pin charms that measure 0.25"" wide x 1.5"" high. Clothes pin does open and shut.",152665,Amscan,382337,048419744986,,USD,2.99,2.99,3.44,,http://www.dpbolvw.net/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FClothes-Pin-Favor-Charms-Pink-24%2F30738%2FPartyItemDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/30738.jpg?zm=250,250,1,0,0?zm=250,250,1,0,0",>>,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,06/18/2013,Clothes Pin Favor Charms Asst. (24),"baby shower, boy, girl, stockingstuffer","Package includes (24) assorted plastic clothes pin charms that measure approximately 0.25"" wide x 1.5"" high.",152667,Amscan,382338,048419744993,,USD,2.99,2.99,3.44,,http://www.jdoqocy.com/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FClothes-Pin-Favor-Charms-Asst-24%2F30740%2FPartyItemDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/30740.jpg?zm=250,250,1,0,0?zm=250,250,1,0,0",>>,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,06/18/2013,Blue Cross Confetti,"christening, baptism, foil, confirmation, communion, confetti",Package contains 0.5 oz. of blue cross embossed foil confetti.,153878,Creative Converting,024029,073525667423,,USD,1.99,1.99,2.29,,http://www.kqzyfj.com/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FBlue-Cross-Confetti%2F35276%2FProductDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/35276.jpg?zm=250,250,1,0,0?zm=250,250,1,0,0",>>,,,,,,,,,,,,,,,,YES,New,,4.99
